uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
STATIC12,GensolCharge Pvt. Ltd.,GensolCharge Pvt. Ltd.,"NDSE Grid, BRPL South Extension",28.568238,77.219666,Delhi,India,00:00:00,23:59:59,,Unstaffed,"Card, E-Wallet, UPI","[""7042406677""]",charging,110001,central-delhi,,,15 kW,,DC,2,BEVC DC 001,['4W']
STATIC14,REIL,REIL,Scada office kalka ji,28.541995,77.260583,Delhi,India,00:00:00,23:59:59,,Unstaffed,E-Wallet,"[""11399999228""]",charging,110001,central-delhi,,,3.3 kW,,AC,3,BEVC AC 001,"['2W', '3W', '4W']"
STATIC15,REIL,REIL,Ashram Chowk Mathura Road,28.571189,77.259806,Delhi,India,00:00:00,23:59:59,,Unstaffed,E-Wallet,"[""9811024398""]",charging,110001,central-delhi,,,15 kW,,DC,2,BEVC DC 001,['4W']
STATIC16,REIL,REIL,Nizamuddin Railway station,28.588991,77.25324,Delhi,India,00:00:00,23:59:59,,Unstaffed,Cash/E-Wallet,"[""9717632007""]",charging,110001,central-delhi,,,15 kW,,DC,4,BEVC DC 001,['4W']
STATIC17,BluSmart,BluSmart,"BSES Bhawan, Nehru Place, New Delhi 110048",28.549427,77.254636,Delhi,India,00:00:00,23:59:59,,Unstaffed,Cash/E-Wallet,"[""7042406677""]",charging,110001,central-delhi,,,15 kW,,DC,1,BEVC DC 001,['4W']
STATIC18,Smart E,Smart E,Uttam Nagar East metro station,28.626722,77.065972,Delhi,India,00:00:00,23:59:59,,Staffed,E-Wallet,"[""9999875122""]",charging,110001,central-delhi,,,3.3 kW,,AC,20,BEVC AC 001,"['2W', '3W', '4W']"
STATIC19,EEE,EEE,"Mukteshwar dham Andheriya bagh,mehrauli",28.510291,77.171653,Delhi,India,00:00:00,23:59:59,,Unstaffed,Cash/E-Wallet,"[""9906090044""]",charging,110001,central-delhi,,,15 kW,,DC,7,BEVC DC 001,['4W']
STATIC19,EEE,EEE,"Mukteshwar dham Andheriya bagh,mehrauli",28.510291,77.171653,Delhi,India,00:00:00,23:59:59,,Unstaffed,Cash/E-Wallet,"[""9906090044""]",charging,110001,central-delhi,,,3.3 kW,,AC,12,BEVC AC 001,"['2W', '3W', '4W']"
STATIC20,BluSmart,BluSmart,"Plot No. 24, Behind Fun & Food Village, Kapashera Estate, Kapashera New Delhi 110097",28.522486,77.089232,Delhi,India,00:00:00,23:59:59,,Staffed,Cash/E-Wallet,"[""9811067012""]",charging,110001,central-delhi,,,3.3 kW,,AC,40,BEVC AC 001,"['2W', '3W', '4W']"
STATIC20,BluSmart,BluSmart,"Plot No. 24, Behind Fun & Food Village, Kapashera Estate, Kapashera New Delhi 110097",28.522486,77.089232,Delhi,India,00:00:00,23:59:59,,Staffed,Cash/E-Wallet,"[""9811067012""]",charging,110001,central-delhi,,,30 kW,,DC,13,BEVC DC 001,['4W']
STATIC28,HPCL,HPCL,"HP Pump, ground floor, Mahipal pur-Gurgoan road NH-8, Mahipal pur, delhi 110037",28.544785,77.121449,Delhi,India,00:00:00,23:59:59,,Staffed,E-Wallet,[],charging,110001,central-delhi,,,15 kW,,DC,1,BEVC DC 001,['4W']
STATIC29,BluSmart,BluSmart,"Multi Level Car Parking, Level 2 , Indira Gandhi International Airport , New Delhi",28.55476,77.08831,Delhi,India,00:00:00,23:59:59,,Staffed,E-Wallet,[],charging,110001,central-delhi,,,3.3 kW,,AC,7,BEVC AC 001,"['2W', '3W', '4W']"
STATIC29,BluSmart,BluSmart,"Multi Level Car Parking, Level 2 , Indira Gandhi International Airport , New Delhi",28.55476,77.08831,Delhi,India,00:00:00,23:59:59,,Staffed,E-Wallet,[],charging,110001,central-delhi,,,20 kW,,DC,2,BEVC DC 001,['4W']
STATIC30,BSES,BSES,"New Delhi Railway Station, Pahar Ganj",28.6453,77.2126,Delhi,India,00:00:00,23:59:59,,Unstaffed,E-wallet,[],charging,110001,central-delhi,,,15 kW,,DC,2,BEVC DC 001,['4W']
STATIC31,BSES,BSES,"New Delhi Railway Station, Ajmeri Gate",28.6427,77.2247,Delhi,India,00:00:00,23:59:59,,Unstaffed,E-wallet,[],charging,110001,central-delhi,,,15 kW,,DC,4,BEVC DC 001,['4W']
STATIC32,BSES,BSES,Anand Vihar Railway Station,28.6471,77.3158,Delhi,India,00:00:00,23:59:59,,Unstaffed,E-wallet,[],charging,110001,central-delhi,,,15 kW,,DC,4,BEVC DC 001,['4W']
